user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
willowtheebulldog,6750482354140136454,6939280699115490565,Owe I came back in and she was sitting like an egg waiting next to the phone 🥚 #willowtheebulldog #bulldog #getyourdogchallenge 🧸💖🥰🥚🧸🧿👹,1615677195,21,https://www.tiktok.com/@willowtheebulldog/video/6939280699115490565?lang=en,16600,95,178,83000
rafael.nistor,6741015091896910854,6959117944085351686,3° most viral videos. ❤️,1620295921,55,https://www.tiktok.com/@rafael.nistor/video/6959117944085351686?lang=en,288900,734,749,1700000
christianrocchio,6724374117519459333,6959312213274332421,i don’t understand how this happened #jersey #fyp,1620341146,10,https://www.tiktok.com/@christianrocchio/video/6959312213274332421?lang=en,298200,6690,2257,1700000
thecoreyb,6686135812704175109,6941052498169826565,I’ll be sleeping on the couch tonight... 😫 #fyp,1616089723,57,https://www.tiktok.com/@thecoreyb/video/6941052498169826565?lang=en,222700,1049,715,1000000
brodywellmaker,6669716864531054598,6934743456065572102,ib @dominiquinn #teambrody #fyp #comedy,1614620794,15,https://www.tiktok.com/@brodywellmaker/video/6934743456065572102?lang=en,131400,5090,2104,1100000
oliver.lincoln,6807860051488572421,6927423668498730245,Come on let’s go to sleep. 😴 #oliverlincoln #ItWasntMe #capuchin #monkey #fyp #DoTheScottsSlide #baby,1612916525,11,https://www.tiktok.com/@oliver.lincoln/video/6927423668498730245?lang=en,15500,256,136,156400
brittneyandzion,6833102852434363398,6954359982108282117,Let's let him sleep this time 😊😴 #zion #tiger #catnap #cat #bigcat #animals #Destinationdepop,1619188115,37,https://www.tiktok.com/@brittneyandzion/video/6954359982108282117?lang=en,38200,91,227,223300
krysandkareem,6731144529438884869,6958466549099384069,Any suggestions? 🤷🏻‍♂️ #fyp #marriedcouple #baby,1620144249,11,https://www.tiktok.com/@krysandkareem/video/6958466549099384069?lang=en,36700,153,416,399200
jenafire84,6798318049164690438,6959783387565427974,worked all day came home and seen a tick on my son 😳 #ticks #ticksremoval #ohno #eww #hellno #fyp,1620450855,12,https://www.tiktok.com/@jenafire84/video/6959783387565427974?lang=en,337900,2620,3899,3300000
tyler_river,6758816569066963973,6958600041204305157,Papi took my order 🙄🙄😂😂 @mr_nuevayol 😂 #Fyp #Foryoupage #Dominican #Spanish,1620175330,30,https://www.tiktok.com/@tyler_river/video/6958600041204305157?lang=en,84500,9423,1019,961100
antonioslimgovea,6760178432926417925,6958671334230609158,Hasta este día todavía no tengo un hermanito😂😂😂#mexicanmom#mexicandad#mexican#mexicano#latino#mexicantiktok#parati#chistoso#chiste#takuache#cuh,1620191935,65,https://www.tiktok.com/@antonioslimgovea/video/6958671334230609158?lang=en,420500,3599,3584,2000000
wwe,24335671,6933679009486146821,Let’s just say Aliyah & @robertstonewwe have a different #CenterOfGravity 😂 #wwe,1614372957,10,https://www.tiktok.com/@wwe/video/6933679009486146821?lang=en,166600,1508,374,2600000
petrrrr7,6894988799559336966,6945619945065647366,#earwax #foryou #earwaxremoval #FindYourCore,1617153167,32,https://www.tiktok.com/@petrrrr7/video/6945619945065647366?lang=en,24500,350,949,743900
surahrdot,6739707497916269573,6954489827270118662,Anyone else?,1619218346,10,https://www.tiktok.com/@surahrdot/video/6954489827270118662?lang=en,341800,10700,5617,1200000
nursejoy2323,6804851387487388678,6943864205447679238,#duet with @nursejoy2323 biden#sleepyjoe#liberals#republicans#womenfortrump#conservative#pressconference #kamalaharris,1616744384,15,https://www.tiktok.com/@nursejoy2323/video/6943864205447679238?lang=en,91200,15700,8685,1900000
lacylatina21,6907374495112922117,6959301558496513285,Vivir intensamente 🥰🥰🥰 #foryoupage #parati  #fyp  #serfeliz  #reflexiones  #reflexiondeldia  #felicidad,1620338665,20,https://www.tiktok.com/@lacylatina21/video/6959301558496513285?lang=en,8174,2964,196,216600
midwesternmama29,6817526662889325573,6954441248069405957,Wash sheets and reset my bedroom with me! 🥰 #reset #laundry #asmr #cleaningtiktok #midwesternmama,1619207035,95,https://www.tiktok.com/@midwesternmama29/video/6954441248069405957?lang=en,48400,292,592,439600
photomyne,6893771041458766850,6952770657067306242,"100K followers 🌟🌟🌟Thank you for your support, we couldn’t have made it without you! See you at 200K 👑👑👑#photomyne #100k #filmboxapp #fyp",1618818071,14,https://www.tiktok.com/@photomyne/video/6952770657067306242?lang=en,26000,34,72,1000000
alexa99,6779270077473735685,6956240815077248262,"Whoa, glad I had a box seat to your beats! #Alexa99 #AlexaBeatbox #Beatbox #BeatboxChallenge",1619626030,15,https://www.tiktok.com/@alexa99/video/6956240815077248262?lang=en,34300,10,95,297700
alexandrakaymusic,6737847587396895749,6945528038423612677,My girls @tigirlily really put out THE inspirational song of the year ♥️ #somebodydoes,1617131766,49,https://www.tiktok.com/@alexandrakaymusic/video/6945528038423612677?lang=en,21100,108,271,227000
thenickluciano,6721669037267665926,6959356025770183942,Haircuts and Texas Golden hour! 🤌🏻 #nickluciano #bodega,1620351347,8,https://www.tiktok.com/@thenickluciano/video/6959356025770183942?lang=en,156100,466,907,692200
